start,end,fmin,fmax,category
-0.0041559999999947195,0.02885299999999802,NaN,NaN,NaN
0.02885299999999802,0.06042600000000675,NaN,NaN,NaN
0.06042600000000675,0.0855410000000063,NaN,NaN,NaN
0.0855410000000063,0.11065600000000586,NaN,NaN,NaN
0.11065600000000586,0.1285960000000017,NaN,NaN,NaN
0.13577100000000542,0.1666270000000054,NaN,NaN,NaN
0.1666270000000054,0.20178799999999342,NaN,NaN,NaN
0.23479700000000037,0.2706759999999946,NaN,NaN,NaN
0.31875300000000095,0.3524799999999999,NaN,NaN,NaN
0.3632429999999971,0.40055700000000627,NaN,NaN,NaN
0.4184970000000021,0.46944399999999575,NaN,NaN,NaN
0.5002999999999957,0.5376140000000049,NaN,NaN,NaN
0.5376140000000049,0.5727749999999929,NaN,NaN,NaN
0.6316170000000056,0.6610369999999932,NaN,NaN,NaN
0.8684169999999938,0.905731000000003,NaN,NaN,NaN
1.1568829999999934,1.184151,NaN,NaN,NaN
1.2788709999999952,1.2968099999999936,NaN,NaN,NaN
1.332689000000002,1.3585219999999936,NaN,NaN,NaN
1.617566999999994,1.6398109999999946,NaN,NaN,NaN
