start,end,fmin,fmax,category
0.09469400000000405,0.12371900000005098,467.23645,1971.509888,s
0.12371900000005098,0.15419499999995878,512.820557,1886.039795,s
0.17451200000004974,0.19483000000002448,438.74646,1726.495728,s
0.19483000000002448,0.21950100000003658,598.290649,1925.926025,s
0.31818599999996877,0.34285699999998087,717.94873,1954.415894,s
0.42267600000002403,0.45024899999998524,376.06839,1937.321899,s
0.45024899999998524,0.46911599999998543,524.216553,1874.643921,s
0.46911599999998543,0.5053970000000163,535.612549,1903.133911,s
0.5053970000000163,0.5344219999999495,592.59259,1891.737915,s
0.5619950000000244,0.5852149999999483,564.1026,1982.906006,s
0.7709750000000213,0.8014510000000428,757.834717,1977.208008,s
0.8333790000000363,0.8609519999999975,849.002808,1977.208008,s
1.1047620000000506,1.1279819999999745,928.774963,1703.703735,s
1.133786999999984,1.1613610000000563,900.284912,1897.435913,s
1.3064849999999524,1.3209980000000314,507.122528,1606.837646,s
1.4878909999999905,1.5154649999999492,324.786346,729.344727,s
1.6954200000000128,1.71573699999999,250.71225,769.230774,s
