start,end,fmin,fmax,category
1.060346,1.0763550000000004,320.474792,1762.611328,s
1.4877779999999996,1.503787,1103.857544,2590.504395,s
1.5374049999999997,1.555015,1354.838623,2777.419434,s
1.5630189999999997,1.5774270000000001,1522.255127,2554.89624,s
1.5998390000000002,1.6142469999999998,1504.45105,2554.89624,s
1.6142469999999998,1.629455,1328.765983,2421.36499,s
1.6422619999999997,1.6550690000000001,1538.709595,2603.22583,s
1.6918889999999998,1.7038950000000002,1441.935425,2748.387207,s
1.708698,1.7223050000000004,1335.483887,2719.35498,s
1.8823920000000003,1.8967999999999998,1316.129028,2787.09668,s
